"","period","nsampled","treatment","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
"178","178","8","control","0","14","0","2","1","1","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0"
"179","179","8","control","0","13","1","2","2","1","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0"
"180","180","8","control","0","13","1","1","0","1","0","0","0","3","0","0","0","0","1","0","3","0","0","0","0"
"181","181","8","control","0","33","1","2","0","1","2","0","1","3","0","0","0","0","3","0","1","0","0","0","0"
"182","182","8","control","0","12","1","2","0","0","0","0","0","0","0","0","0","0","6","0","1","0","0","0","0"
"183","183","8","control","0","15","3","3","0","1","3","0","1","1","0","0","0","0","2","0","0","0","0","0","0"
"184","184","8","control","0","15","2","3","0","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"185","185","8","control","0","15","1","1","1","1","0","0","0","3","0","0","0","0","2","0","1","0","0","0","0"
"186","186","8","control","0","16","1","0","0","0","1","0","0","4","0","0","0","0","2","0","0","0","0","0","1"
"187","187","8","control","0","10","2","1","2","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"188","188","8","control","0","18","1","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"189","189","8","control","0","18","2","1","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"190","190","8","control","0","16","3","1","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"191","191","8","control","0","17","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"192","192","8","control","0","23","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"193","193","8","control","0","24","1","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"194","194","8","control","0","29","2","2","1","0","3","0","0","1","0","0","0","0","2","0","0","0","0","0","0"
"195","195","8","control","0","19","2","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"196","196","8","control","0","14","2","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"197","197","8","control","0","14","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"198","198","8","control","0","13","0","1","0","2","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0"
"199","199","8","control","0","13","0","1","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"200","200","8","control","0","23","3","1","1","2","0","0","0","4","0","0","0","0","2","0","0","0","0","0","0"
"201","201","8","control","0","20","4","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"202","202","8","control","0","20","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"203","203","8","control","0","16","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"204","204","8","control","0","21","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
